name,plot,genres
Tiptoes,"Carol —a talented painter and independent woman—falls in love with Steven  without knowing much about him other than he's the perfect man. But when Carol finds herself pregnant it forces Steven to expose his darkest secret—his family. Steven happens to be the only average-sized person in a family of dwarfs, including his twin brother Rolfe . Carol and Steven are then forced to come to terms with the fact that the fetus she carries may be born a dwarf. This terrifies Steven, who does not want his child to suffer the same way Rolfe did as a child. As Carol decides to carry the child, she and Steven grow further apart, and she begins to rely on Rolfe to teach her about life as a dwarf.","Drama, Comedy"
That Old Feeling,"Molly de Mora  invites her divorced parents  to her wedding reception, where they see each other for the first time in 14 years. A shouting match between the two ensues. Following this, their spark is rekindled during the wedding reception. Over the next few days they fall in love again and run off together, thereby upsetting the newlyweds' honeymoon and their respective  spouses. If the scandal was made public it would be more controversial than usual, since the bride's husband hopes to stand for election to Congress. After searching for her parents and getting to know Joey Donna , her mother's number one paparazzi nicknamed ""The Cockroach"", whom she hires to help her find them, Molly decides that her parents deserve a chance to be together and gives them her honeymoon to Hawaii. When Keith objects to her decision, it is revealed that he slept with her stepmother. Knowing now that her marriage was a mistake, Molly runs off with Joey as her parents run off to Hawaii.",Comedy
King of the Ants,"The film follows the story of Sean Crawley ([[Chris McKenna , a struggling young man trying to make ends meet by painting houses in suburban Los Angeles. One day, Sean meets ""Duke"" Wayne , who introduces Sean to his boss, a shady developer named Ray Matthews . Ray hires Sean as a spy, and orders him to follow Eric Gatley , an accountant who has been investigating Ray's company. Problems start when Ray, while drunk, offers Sean $13,000 to kill Eric. Sean accepts his offer and, although ambivalent, ends up killing Gatley by breaking into his house and beating him to death. When Sean goes to collect his pay, however, he is double-crossed and when he insists that they pay him, he is kidnapped and taken to Ray's secluded farm. It emerges that Matthews never had any intention of paying Sean for the killing, for he only wanted to use and eliminate him. But Sean survives from having a bullet put in his head then reveals that he had taken Gatley's work file of evidence and hidden it along with his documentation of events leading to the murder. When torture fails to make him disclose the whereabouts of the file, Sean is then brutally beaten about the head with golf clubs many times by Ray and his henchmen daily for weeks, in an effort to destroy his memory. After suffering a heavy amount of trauma, Sean escapes, killing Duke, and finds his way to a downtown homeless shelter where Gatley's widow, Susan , takes him under her wing, oblivious to his role in her personal tragedy. After she nurses him back to normal, he feels he has been reborn and they become lovers and he moves into her house. But after a few weeks, Susan finds his file describing the murder and, enraged, physically attacks him. Defending himself, Sean accidentally kills her. Having lost what he saw as his redemption and rebirth, more angry and cynical than ever, Sean returns to Ray's farm and methodically and ruthlessly exacts revenge on his captors; having arrived before Ray, he finds Duke's body and decapitates it, removing the wounds that would implicate his involvement. While waiting for Ray, Sean burns Duke's head in a fire pit along with pictures of Susan, exclaiming that if it wasn't for him and his friends he could have had a happy life. He hides in the house while Ray's henchmen search for him. Sean jumps Carl upstairs and hits him in the chest with a sledgehammer and kicks him down the stairs, Carl lies on the floor unable to move from internal bleeding. Beckett comes into the house to find Carl, when Sean breaks his leg and hits his back, paralyzing him. With the two henchmen unable to move, he moves on to Ray, dousing him in gasoline and setting him on fire, he returns to the house to deal with the wounded Carl and Beckett, begging him for medical assistance and asking why. Sean simply replies asking if there needs to be a reason for his revenge. Sean turns the stove on and leaves the house, he changes Ray's shoes to make it appear that the trio were working on the house when an accident occurs. Sean lights one of Ray's shoes on fire and throws it in the house, Beckett and Carl scream and cry as Sean walks away from the house before it explodes, and the screen fades to black. The title of the film refers to an episode after the murder, when Sean and Duke are at the zoo and Duke is musing about the game of deciding which animal most closely resembles a person, not physically, but on a deeper level. After roughing Sean up to discourage him from pursuing his quest for payment, he disparagingly remarks that he's found which animal resembles Sean: an ant.",Drama
Shinsengumi,"Near the end of the nineteenth century, as the balance of power shifts from Shogunate towards the Emperor, Japan restlessly awaits the dawning of a new age. But not all are content... The Shinsengumi, a small army of samurai, farmers and peasants, band together to do battle against the tide of history. Their leader, Isami Kondo  is a man who rises from farmer to fighter to head the fierce Shinsengumi brigade. Using a stern hand and a heart of gold, he rallies his men in defense of the tottering Shogunate. But bloodshed and treachery lurk around every corner.",Drama
Suddenly Naked,"Jackie York is a famous novelist with a secret: she is suffering from writer's block and is unable to write her much-anticipated novel. After being used and then dumped by a wannabe movie director, Jackie can't get back to work. So, Jackie concocts a mess of lies to cover up her loneliness and to protect her secret. Jackie then meets a man named Patrick McKeating, a writer who opens her up to new possibilities. However, Patrick is nearly 20 years younger than Jackie. Jackie gets a lesson in true love and must decide what really matters in life.","Drama, Comedy"
The Dawning,"The film opens with Angus Barrie , an Irish Republican Army member, walking through hills, and coming to rest on a beach, where there is a little hut. Meanwhile, Nancy Gulliver  having just left school, burns all her books in happiness. It is her birthday, and her aunt  has invited over Harry , with whom she’s desperately in love, to tea. However, during the course of the film, as a result of Harry’s behaviour with another girl and the way he treats Nancy, she realises that her love for Harry was nothing more than childish infatuation. One day, Nancy goes down to the beach, and notices that her hut has been slept in. She leaves a note requesting that it be left alone. Soon after, she is on the beach reading, when Barrie comes up to her. Over the course of the film, the two develop a relationship, despite her not really knowing and understanding his job: he is one of the first people that became part of a group named the IRA, and is on the run from the government. Nevertheless, she grows fond of Barrie, and dubs him ""Cassius""  After Cassius asks her to pass on a message to a colleague, several constables of the Royal Irish Constabulary are gunned down at a horse race show. Later that day, the R.I.C. comes to see Nancy, and ask her if she knows where Cassius is. The police officers' suspicion is aroused when Nancy's grandfather  says he saw her talking to a man on the beach. She denies any knowledge. When they leave, she runs to the cottage on the beach where Cassius was staying to tell him to flee, only to find that he has already packed. As they walk out, a light shines on them: the RIC has found him. He is gunned down, much to Nancy's distress. The film ends with Nancy back at home, considerably older and wiser than when the film started.",Drama
Lookwell,A washed-up TV action hero — who at the peak of his career was ceremonially deputized by local law enforcement — falsely believes he can solve crimes in real life. His student Jason  becomes his sidekick.,Comedy
The Woman on the Beach,"Scott, a mounted Coast Guard officer, suffers from recurring nightmares involving a maritime tragedy. He sees himself immersed in an eerie landscape surrounded by a shipwreck and walking over skeletons at the bottom of the sea while a ghostly blond woman beckons him from afar. He thinks he is going mad. But at the same time, he decides to propose to Eve, a young woman working at Geddes, a local shipyard catering to the Coast Guard. She accepts. Eve has a strong resemblance to the ghostly blond of his nightmares. While riding by the seaside on his horse, Scott meets Peggy, a brunette, the mysterious wife of Tod, a blind painter. At first, though, he rides by her as she stands near a shipwreck protruding from the sand; she seems like an eerie echo from his nightmares. After a conversation, they discover that they share similar metaphysical anxieties. A bond develops between the two but the situation gets more tangled when Tod tries to befriend Scott. Tod's attitude toward Scott, apart from his friendship, is also ambivalent. The retired painter tries to test Peggy and Scott to gauge how far they could go in their relationship. Outwardly Tod seems confident; he even tells Peggy that he knows she could never leave him and that he finds Scott, a much younger man, virile but banal. However behind this facade lies a deeply wounded man who cannot come to terms with the fact that because of his blindness, he cannot paint any longer. In one exchange with Scott he tells him that dead painters' works always appreciate in value. Indeed, he expects the value of his paintings to increase, considering he is now 'dead' as a painter. Initially Scott is suspicious of Tod's motives; he also suspects that Tod is not blind. Scott is also increasingly interested in Peggy, who returns his attentions. During an outing that Scott sets up to test the painter, he moves Tod near the edge of a cliff, but then inadvertently lets him fall, thinking that he will be forced to see and therefore avoid the fall at the last minute. After this mishap, Tod eventually recovers. He at first thinks that Scott would now become his friend since the fall would remove any doubts about his true blindness. But soon after Tod exhibits abusive behavior toward Peggy when he realizes that she has hid his masterpiece, his portrait of her. Seeing this, Scott tries to protect her. As Scott grows more attracted to Peggy, he becomes ambivalent toward his earlier relationship with Eve Geddes. Eve in turn, sensing Scott's infatuation with Peggy, becomes distant and asks Scott to delay their marriage plans. The narrative reaches one climax when Scott attempts to drown both Tod and himself during a boat outing with him that started as a fishing trip. By trying to pierce the bottom of the boat, it's apparent that Scott has put himself in danger as well, since he would be swimming helpless in the stormy seas had he been successful at this attempt. This scene illustrates the degree of his desperation, if not madness. This attempt by Scott to drown Tod reveals the depth of his emotional attachment to Peggy. Scott's plan fails, however, because Peggy, who seemingly went along with his plan, has a change of heart and alerts the authorities. Both Tod and Scott are eventually rescued by the Coast Guard. Eve, part of the rescue team, echoes the metaphysical connection to the blonde of his undersea nightmare who beckoned Scott in his dreams. In the film's finale, Tod burns all his paintings along with the house he and Peggy lived in. Peggy frantically tries to stop Tod and save the paintings: they are worth a fortune. She fails, as Scott forces her out of the collapsing house. After they have moved safely away, Scott asks Tod why he did it. Tod says the paintings were a symbol of the obsession he had with his previous, sighted life. Now that Tod's obsession with his past has been purged, he is free to go on with his life. He asks Peggy to take him to New York, where they have happy memories of their earlier life together. Afterwards she may ""do as she pleases"". Peggy embraces Tod. Observing this, Scott leaves them.",Drama
Le Beau Serge,"François  returns to his village after a long absence. He finds his friend Serge  who has married Yvonne, and has developed an alcohol problem after the death of their stillborn child. Serge has become an angry, bitter figure not unlike the roles of James Dean, refusing to face reality and adulthood and François must help him.",Drama
Noises Off...,"The film follows the concept of a play within a play, in this case a dreadful farce Nothing On — the type of production in which many doors continually open and shut. The setting has been transplanted from the backcountry of Great Britain to Des Moines, Iowa, where a second-rate theatrical troupe is preparing to perform the Broadway-bound play under the direction of Lloyd Fellowes. Among the cast members are fading star Dotty Otley, scatter-brained actor Garry Lejuene, insecure matinee hearthrob Frederick Dallas, myopic leading lady Brooke Ashton, second female lead Belinda Blair, and alcoholic character actor Selsdon Mawbray. Frantically working behind the scenes are Tim Allgood and Poppy Taylor. The film opens with the final dress rehearsal before opening night, with the cast still forgetting lines, missing cues, and mishandling props. Lloyd is reduced to cajoling, yelling at, and pleading with them to get things right. Complicating matters are the personal problems and backstage relationships that have fostered jealousy and petty squabbling and intruded upon any professionalism this motley crew can muster. As the company works its way to New York City, the eccentricities of the cast come to the fore and the performances on the road dissolve into chaos on and backstage.",Comedy
Ghetto Stories: The Movie,"Rival drug dealers struggle to make ends meet in the crime filled streets of Baton Rouge. Unaware that they are family, two young men from different sides of town wage a war on with each other that eventually culminates in a strong union.",Drama
The Man Who Quit Smoking,"The Plot focuses on Dante Alighieri, a young man who loves smoking. When his father dies Dante inherits 17 million kr on one special condition: He must give up smoking in 14 days and then stay smoke-free for an entire year. If he fails, his uncle inherits the 17 million instead. Dante has a living hell while trying to quit, and hires a private detective agency called Little Secret Service who he gives free hands to stop him from smoking, While his uncle, who has taken up smoking himself, also does everything he can to make Dante smoke again.",Comedy
Three Brave Men,"Communist conspiracies seem to be everywhere in the 1950s, particularly in Washington, D.C., where word has reached John Rogers, the secretary of the U.S. Navy, that one of his subordinates is strongly suspected to be a Communist sympathizer. Bernie Goldsmith has no idea that he is the man in question as he enjoys his daughter's school essay on patriotism. The news that he is being suspended from work and investigated comes as a complete shock to him. Friends and neighbors, including a minister and the mayor, rally to Bernie's side after others begin to shun him. Joe DiMarco agrees to represent him in court, where a female lieutenant, Mary Jane McCoy, paints a suspicious picture of Bernie in the Navy's eyes. Joe's diligent work results in conclusive testimony that Bernie is not a Communist and all charges against him are dismissed. A grateful Bernie can't wait to be reinstated at work. Secretary Rogers, however, has stubbornly decided that he still cannot trust the man after everything he has heard. Months go by, with Bernie unable to find gainful employment with the Navy or anyplace else. Those who believe in Bernie go to great lengths again to get the Secretary to finally apologize and restore an innocent man's good name.",Drama
Mela,"The only brother ([[Ayub Khan  of a young woman, Roopa , returns to Chandanpur to arrange her marriage. A festival is arranged in the happiness of Roopa's marriage, however Chandanpur's happiness is short-lived, as the village is raided by a group of terrorists. The leader of the terrorists, Gujjar, , murders the politician, and to make matters worse,Roopa's beauty catches the eye of Gujjar. However, as Gujjar attempts to escape with the terrified Roopa, her brother comes to her rescue, only to be slain, much to the horror of the village, especially Roopa. Also, her best friend, Gopal , is killed too, much to the dismay of Gopal's mother . Roopa, enraged by the fact that her brother and Gopal are no more, vows avenge. Gujjar threatens Roopa that she will only be his mistress and will never be able to have a brother nor lover. Enraged, Roopa attempts to commit suicide by jumping into a waterfall as she finds it better to kill herself rather than be a mistress. Destiny has other plans as Roopa survives and she steals the clothes of Kishan , a theatre actor. Kishan works with his best friend, truck driver, Shankar . When Kishan meets Roopa for the first time, he is smitten by her beauty and falls in love with her. Kishan decides to make Roopa the heroine of their dance show, however, Shankar warns him that Roopa will bring them in trouble. With no option, Roopa travels with them, and she tries to escape, but returns when chased by the gang and a drunk who tries to rape her. However, Roopa is saved by Shankar and Kishan. Roopa feigns love for Kishan, who wants to marry her, and the two men agree to help her return to Chandanpur. When Kishan is going to marry Roopa, who feels guilty over her betrayal, led, she tells them her story. Shankar becomes her brother, while Kishan, heartbroken, leaves in disgust. Roopa and Shankar return to Chandanpur, where Shankar mobilises the village. Another carnival is arranged. The villains' attack as planned. Kishan returns but Roopa is kidnapped. The friends give chase and are captured. Eventually good prevails and the outlaws meet a glory end. Roopa is united with her brother Shankar and her lover Kishan. At the end Kishan and Roopa get married and while driving the truck Shankar happens to meet Champakali Aishwarya Rai and Kishan and Roopa watch them.",Drama
Black Tulip,"The film depicts the fictional Mansouri family who start a restaurant in Kabul named The Poet's Corner, where artists and writers meet.{{cite news}}",Drama
Outpost,"In a seedy bar in a town ravaged by war, scientist and businessman Hunt  hires mercenary and former Royal Marine D.C. ([[Ray Stevenson  to assemble a crack team of ex-soldiers, Prior , Jordan ([[Paul Blair , Cotter , Voytech , McKay  and Taktarov , to protect him on a dangerous journey into no-man's land. Their mission is to scope out an old military bunker in Eastern Europe. It should be easy – 48 hours at the most, and highly paid. Once at the outpost, the men make a horrific discovery that turns their mission on its head – the scene of a bloody and gruesome series of experiments, carried out by the SS, in reality shifting and reanimation during World War II to create invincible soldiers. . Amidst the carnage, they find a survivor . At night, the clearing around the bunker is suddenly lit up, and silhouettes of people are seen amongst the light. Soon after, a member of their team called Tak goes missing and is gruesomely killed by an unseen foe. Later the same night Voyteche is killed by two Nazis. The next morning his and Tak's dead bodies are found linked together by the head, and Tak's containing a spent round in his skull. D.C. receives answers regarding the assignment from Hunt, which was that an unnamed corporation wanted Hunt to find and recover a large generator-like device which was responsible for the SS's reality-shifting experiments. D.C. orders Cotter to retrieve Hunt from the generator room. However, while trying to convince Hunt to come with him, an SS soldier with a pickaxe kills Cotter. It is revealed that the survivor the mercenaries recovered was actually a surviving SS brigadier general, with Prior killing the officer, the ""breather"" comes back to life and MacKay speaks his last words of ""You're hummin' my balls!"", and is killed. The mercenaries and Hunt attempt to evacuate the outpost only to be killed by the undead German army. A second corporate team arrives 72 hours later to carry out the same assignment, only to ""find a breather"" among the piles of naked corpses and face the illuminated soldiers surrounding the bunker, in the distance stands the brigadier general who gives the SS soldiers a nod and they begin their assault on the team before the credits roll.",Drama
El Fin,"Depressed by the recent death of his parents and losing his job, Nico; an ordinary 26 year old, decides to take refuge in his house for six months. Until that feared day when the media announces the end of the world is soon coming, caused by a gigantic meteorite crash, Nico is convinced by his close friend Carlos to come with him to Nosara, a beautiful beach on the Pacific coast, the only place where they were ever happy. So this is where their journey begins, where they will find a meaning to their lives, along with other interesting characters on the way.",Comedy
Stage Beauty,"Ned Kynaston  is one of the leading actors of his day, famed for his portrayal of female characters, particularly Desdemona in Othello. His loyal dresser, Maria , longs to perform on stage but is forbidden to do so by a law enacted by the Puritans prior to the return of the House of Stuart to the throne. She fulfills her desire by appearing in plays presented in a local tavern under the name Margaret Hughes. Word of her performances spread and the novelty of a woman on stage draws the attention of Sir Charles Sedley , who offers to be her patron, and eventually the attention of King Charles II  himself. Kynaston's rant against allowing women on stage is overheard by Nell Gwynn , an aspiring actress and Charles II's mistress, and she literally seduces Charles into banning men from playing female roles. As a result, Kynaston loses his lover, George Villiers , the Duke of Buckingham, and the acceptance of London society. Unable to shake the feminine characteristics he has perfected over the years, he is reduced to performing bawdy songs in drag in music halls, while Maria's career thrives, though her abilities leave much to be desired, as she bases everything she does on Kynaston's performances. When Maria is called upon to portray Desdemona for the king, she panics and implores Kynaston to coach her. Not only does he agree, but he insists on replacing company head Thomas Betterton in the role of the titular protagonist. In doing so, he discovers his ability to portray a male character, while Maria evolves from an actress of middling talent to an acclaimed theatrical star.","Drama, Comedy"
The Gun,A series of interweaving stories that tell the journey of a handgun as it passes from one owner to another.{{cite web}},Drama
Northern Lights,"A stranger's call informs Roberta  that her estranged brother Frank has died in a small town under bizarre circumstances. Ben, his best friend from college, also gets the call. Arriving just in time for his funeral, it becomes quickly obvious to them that the little slice of small-town America in which they find themselves is like an episode of The Twilight Zone featuring Frank's eccentric friends, his amazing secrets and his stunning final request. Both Ben and Roberta are shocked to discover that Frank not only had a child, but that he has left them responsible for his son's care. Through a series of comic events, each tries to foist off responsibility on the other.","Drama, Comedy"
A Chump at Oxford,"Stan and Ollie are down to their last six bucks and call a lift to a job agency to find work. A City Water Dept. truck driver offers them a lift and drenches them with water as a joke and leaves them behind. They finally arrive in a badly damaged car that has been towed away. At the job agency a call comes from Mrs. Vandeveer looking for a maid and butler to help at a dinner party she is holding that night. Ollie tells the receptionist they can fill the post and to leave it to them. They arrive and Stan is dressed in drag, pretending to be the maid ""Agnes"". At the dinner party, Stan eats the nibbles he is supposed to be giving to the guests and tips the rest into Mrs. Vandeveer's lap. Ollie calls the guests to the meal with a hand held xylophone. He says ""there is everything From Soup To Nuts folks, come and get it"". Stan is told to take the cocktails and instead of clearing them away he drinks them and becomes drunk. Ollie gets the guests to sit down with the men on one side and the women on the other side of the table. Mr. Vandeveer tells Ollie to change the seating arrangement and Ollie begins to move the guests around for a while until Mr. Vandeveer gets impatient and tells them to sit anywhere they like at the table. Mr. Vandeveer then tells the drunken Stan to ""serve up the salad without dressing"" so Stan serves the salad in his underwear. Seeing this, Mr. Vandeveer angrily storms into another room to take a rifle. Mrs. Vandeveer arrives, having changed her dress, and faints at the sight of Stan. Mr Vandeveer returns, rifle in hand, and chases Stan and Ollie out of the house. A single gunshot is heard and Mr. Vandeveer returns, followed by a policeman, who tells him, ""why don't you be more careful, you almost blew my brains out"". When the cop turns to leave, the seat of his pants have a large jagged hole ripped in them, revealing smouldering undershorts. Stan and Ollie then become road sweepers and wonder why they are always in the gutter. They decide to get an education because in Stan's words ""we're not illiterative enough"". They are sitting outside the Farmers & Merchants Bank of Commerce building eating a packed lunch, while a robbery is taking place inside. They inadvertently catch the robber when he slips on a banana peel tossed on the street by Stan. A grateful bank manager offers them a reward by suggesting that they could have a job in his bank. When Oliver mentions they would not be much use since he and Stan do not have an education, the bank president expands on their goal to attend night school by saying, ""If it's an education you want, you shall have the finest education money can buy."" He enrolls Stan and Ollie at Oxford University in England, and they depart the U.S. towards Oxford by steamship. When Stan and Ollie arrive at the university, the snobby undergraduate students, led by the mischievous Johnson  decide to give them the ""royal initiation,"" which involves a number of pranks. They are sent off into a maze in order to get a pass to see the dean and quickly became lost. One of the students  dresses as a ghost in order to frighten Stan and Ollie, and while they sit on a bench to sleep, the ghost's hand comes through the hedge to help Stan smoke his pipe and cigar . They spend all night in the maze and exit the next morning. Johnson poses as the dean and gives Stan and Ollie the real dean's quarters to live in. They make themselves at home only to be confronted by the dean. The prank is uncovered and Johnson is due to expelled. Before this happens the students decide to run Stan and Ollie out so they can't give evidence against Johnson. The boys are taken to their real quarters where Meredith the valet recognises Stan as Lord Paddington, the ""greatest athlete and scholar the university ever had"". He says that Lord Paddington had lost his memory when the window fell on his head and wandered from campus. Stan and Ollie dismiss his story as a ""dizzy spell"". The students arrive and decide to throw Stan and Ollie out of the window. Stan and Ollie decide to escape through the window and in doing so the window falls on Stan's head, which transforms him back into Lord Paddington. When the students accuse him of ""squealing"", he becomes angry and his ears wiggle—something that occurs whenever Lord Paddington becomes angry, according to Meredith's story—after which he throws all of the students out of the window. However, Stan does not remember Ollie any longer so he becomes furious when Ollie tells him of his former life and throws Ollie out the window as well. Lord Paddington takes pity on Ollie and employs him to be his personal valet. He calls Ollie by the nickname ""Fatty"" and criticises him which makes Ollie so angry he quits his job. Stan hears students come to cheer him outside and as he looks out of the window it falls on him once again, returning him back to his usual self.",Comedy
American Pie Presents: The Book of Love,"The story takes place at East Great Falls High, eleven years after the events of American Pie. The new protagonists of this movie are three brand new hapless virgins: Rob , Nathan  and Lube . One night Rob accidentally sets fire to the school library, and finds ""the Bible"" , the creation of Mr. Levinstein . Unfortunately for them, the book is ruined. The book had incomplete advice and sends them on a helpless journey to lose their virginity. After trying and failing for most of the time, they pledge to restore the book, and to do this, they must find Levenstein and all the other people who wrote in the book, and start the restoration. The story begins with Rob entering his bedroom, and attempting to masturbate with a peanut butter sandwich . While he is doing this his dog, Frizzie, tries to eat the sandwich, and Rob's little brother Cody takes a video of him receiving this unwanted sexual gratification. Later, Rob meets with his friends, Nathan and Marshall Lube, at school. Nathan reveals that his girlfriend, Dana, has pledged to abstain from sex until marriage despite the fact that she has already slept with six other people. Rob talks to Heidi, a girl he is attracted to, and Stifler. Stifler states that if Rob doesn't make a move on Heidi, he will. In class, Lube has a vivid fantasy about a group of cheerleaders, particularly one named Ashley. Rob and Heidi meet later in the school library where she discloses that she is a virgin, and wishes to just ""get it [sex] over with"". At the school dance, Nathan tries to get to second base with Dana, but only manages to offend her due to her abstinance pledge. Rob attempts to tell Heidi how he feels about her but is interrupted by Nathan and Lube. He eventually finds her in the library about to have sex with another student, and drops a lit candle in a bin in shock. This sets the library on fire, which sets off the water sprinklers. The next day, when Rob and Heidi are cleaning the library, Rob finds a secret compartment containing 'The Bible' . He shows the book to his friends Nathan and Lube and explains that it is a sex manual that has been compiled over forty years by the students who found it. The book is regarded as legendary, but unfortunately has been damaged by the water. Later in the local mall, Rob attempts to test a tip in the book; 'Simple Flattery'. He approaches Ashley in a lingerie store and complements her. Ashley leads him into a changing room, takes off her bra and top, and makes him steal a bra for her. Unfortunately Rob is caught and forced to pay for the bra with his mom's credit card. Meanwhile, Nathan goes to Dana's church service to talk to her, but accidentally broadcasts the explicit and highly personal conversation to the entire congregation on the church's PA system. Dana's father then bans Dana from seeing Nathan. When she receives her credit card bill, Rob's mom tries to talk to him about buying underwear, prompting Rob to sarcastically say that he likes wearing womens' underwear. He is again filmed by his little brother, who again posts the footage on the internet for the whole school to see. The next day, Heidi, Imogen and Dana are spectating at a school basketball game in which Rob and Stifler are playing. A girl called Katie tries to talk to Stifler, but he brushes her off. Rob again attempts to tell Heidi how he feels, but is unable to. Lube discovers a page in The Bible which tells of a brothel in Canada and a prostitute, Monique, who is very experienced. The entry was written in 1975, but Lube misreads the date as 1995, and they decide to visit. When they meet Monique the boys are disgusted, but Nathan states that they should go for it anyway. Nathan and Lube make Rob go first, but Monique dies while performing oral sex on him. They panic and drive back to the USA. Rob and Heidi are once gain in the library where Rob finally tells her he is attracted to her. Heidi says she feels the same, and they agree to meet at Stifler's party later. At the party Heidi hears Rob shout ""Tonight, I'm getting laid!"", and runs upstairs. Stifler again brushes off Katie when she tries to talk to him. Lube tells Ashley how he feels about her, giving a speech on how he guarantees sexual satisfaction, but she still turns him down. Ashley's friend is impressed with his promise and tells Lube to meet her upstairs, but when she finds an offensive text on his phone she storms out. Nathan attempts to reconcile with Dana but offends her, making her leave once again. Rob finds Heidi in bed with Stifler and leaves the room. Heidi follows him downstairs, but Rob refuses to talk to her and begins to drink heavily. He declares ""only assholes get laid!"" and then behaves crudely to a random girl, who promptly goes to bed with him. She asks him to have sex with her from behind, but he hallucinates and sees Heidi saying; ""You aren't seriously going to stick your dick in that, are you?"". Rob then throws up on the girl's back. The next morning his mother asks him if he drove home drunk, and shows him a film she received on her phone of Rob throwing up on the girl the night before. In an attempt to restore The Bible, Rob and his friends resolve to find all of the people who originally wrote it in order to recreate it, starting with the original creator, Noah Levenstein. They eventually succeed in recreating the book. Rob and his friends then go on the school ski trip. In a log cabin where a few students are playing strip poker, Katie again attempts to talk to Stifler, who again brushes her off. She bets Stifler that if she wins at poker he has to apologise to her and run naked in the snow. Stifler loses and is forced to apologise and go outside naked, where he is humped by a moose while the others laughed at him. The next morning while Stifler is resting due to last night's ordeal, Imogen keeps him company and the two forms a bond. The other students are riding up the mountain in gondola ski lifts, but Nathan has sex with Dana in the lift control room and accidentally shut off the lifts' power. In one lift, Rob and Heidi reconcile and kiss. Ashley and Lube are in another lift, where Lube falls out when trying to go for help. When Ashley climbs down to him, Lube tells her how he really feels about her, moving her to tears. Heidi and Rob return to the cabin and have sex. Lube and Ashley also go back to the cabin and have sex. The story ends with Rob, Nathan and Lube returning the newly-restored Bible to where Rob found it, after Rob has added his signature to it. As a finale, Rob's brother, Cody, enters his bedroom to find an online film of him putting a vacuum cleaner on his penis. To his horror it has been viewed almost 10 million times. Rob ends the film with the words ""Gotchaaaaa, ha ha"".",Comedy
Gurushetram - 24 Hours of Anger,"Set in contemporary Singapore, Gurushetram - 24 Hours of Anger, is a sinuously provocative, edge-of-your-seat thriller about Prakash who is brought up in a particular segment of the working-class Indian society lined with the wreckage of broken families and dreams. Prakash, a 17 year old teenager, losing his family, seeks shelter with his uncle Vinod, the head of a drug ring, with his mentally challenged younger brother. The two teenagers emerge as pivotal accomplices in Vinod’s clandestine drug operations. Unbeknownst to Vinod, an adamant narcotics police superintendent is hot on their heels after receiving a string of tips offs from an anonymous informant. An earnest social counselor tries to reach out to Prakash and his brother but meets resistance from those within and outside the law. Both the law enforcers and Vinod want a piece of Prakash and his defenseless sibling in a world fraught with peril, double-crossings and deceits. Prakash has no choice but play his final card to salvage the situation and protect his brother once and for all.",Drama
Le Magnifique,"François Merlin  is a Jean Bruce type writer of pulp espionage novels  and about half of the film plays in his imagination, where he is the world-renowned superspy ""Bob Sinclar""  Christine  is a sociology student who lives in Merlin's building and is interested in the novels, but in the writer's imagination she becomes Tatiana, his paramour, while the pompous and rich publisher of his novels, Pierre Charron , doubles as the great villain of the spy novels, the Albanian secret services head Karpov, who in a memorable scene of the film threatens to cut off one of Tatiana's breasts. Christine is clearly fascinated with the handsome spy Bob Sinclar, an unrealistic and idealized hero, who is the very opposite of his creator: a clumsy, frustrated man who barely makes enough money to get by. However, when she is befriended by the rich and vain publisher who looks down upon his poor hack writer, she realises her mistake, and after a party where he tries to seduce her, she flees him and falls asleep on the landing outside the writer's flat, where he finds her in the morning, clad apparently only in a T-shirt and embraces her for a happy ending. In the final scene, Merlin throws over the balcony his last manuscript, freeing himself from his character and his imaginated life.",Comedy
